dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
26,5600.230627619681,1730.3485333785977,1579.8917589727175,1089.5290800289988,0.9972928904551454,9999.999999999995,2669.4208390017166,4399.769372380319
27,5446.890902701354,1711.55280442873,1637.0991617821255,1204.4571310877848,0.9225394606547213,9999.999999999995,2841.55629286991,4553.109097298646
28,5300.171183715724,1688.2476511711857,1688.3232892341084,1323.257875878977,0.8535333476574789,9999.999999999995,3011.5811651130853,4699.828816284276
29,5159.860217749361,1661.0631977497155,1733.5727120900842,1445.5038724108333,0.7898326767491164,9999.999999999995,3179.0765845009173,4840.139782250639
30,5025.7513590515555,1630.56522278466,1772.9130280679854,1570.7703900957936,0.7310295461578071,9999.999999999995,3343.6834181637787,4974.2486409484445
31,4897.642201736481,1597.2616319854405,1806.4570419114607,1698.6391243666124,0.6767474150902575,9999.999999999995,3505.096166278073,5102.357798263519
32,4775.334239819408,1561.6082887747527,1834.3562152649286,1828.701256140905,0.6266386925850969,9999.999999999995,3663.0574714058334,5224.665760180592
33,4658.632557829917,1524.0142609323502,1856.7932397363998,1960.5599415013276,0.5803825117440279,9999.999999999995,3817.3531812377273,5341.367442170083
34,4547.3455550903545,1484.846535894397,1873.9756019682427,2093.8323070469996,0.5376826750882177,9999.999999999993,3967.8079090152423,5452.6544449096455
35,4441.28470646489,1444.4342526056137,1886.1300234230032,2228.1510175064864,0.49826575788319705,9999.999999999993,4114.28104092949,5558.71529353511
36,4340.2643619699675,1403.072493658955,1893.4976700922284,2363.165474278844,0.4618793572870712,9999.999999999996,4256.663144371072,5659.7356380300325
37,4244.101587093727,1361.025677813596,1896.3300385993819,2498.5426964932904,0.4282904761106125,9999.999999999996,4394.872735092672,5755.898412906273
38,4152.61604501029,1318.5305897974308,1894.8854353258548,2633.9679298664205,0.3972840308397829,9999.999999999996,4528.853365192275,5847.38395498971
39,4065.6299211122882,1275.7990815144744,1889.4259743593366,2769.145023013897,0.36866147436693536,9999.999999999996,4658.570997373234,5934.370078887712
40,3982.9678894467334,1233.020476328872,1880.2150283500046,2903.7966058743864,0.3422395246114733,9999.999999999996,4784.011634224391,6017.032110553267
41,3904.457119756061,1190.3637059239534,1867.5150738525738,3037.6641004674084,0.3178489908887979,9999.999999999996,4905.179174319982,6095.542880243939
42,3829.9273229338523,1147.9792072767307,1851.5858795095369,3170.507590279876,0.2953336905123002,9999.999999999996,5022.093469789413,6170.072677066148
43,3759.2108318415926,1106.0006054884411,1832.682991560213,3302.1055711097497,0.27454944869094855,9999.999999999996,5134.788562669963,6240.789168158408
44,3692.1427136373795,1064.5462065184404,1811.0564766988532,3432.2546031453235,0.25536317531840463,9999.999999999996,5243.311079844177,6307.8572863626205
45,3628.5609090760754,1023.7203222374001,1786.9498873017988,3560.768881384723,0.23765201274196532,9999.999999999998,5347.718768686522,6371.439090923925
46,3568.30639368433,983.6144486105574,1760.599418540043,3687.479739165067,0.22130254905414182,9999.999999999998,5448.0791577051095,6431.69360631567
47,3511.2233553178075,944.3083162169689,1732.233230925213,3812.2350975400072,0.20621009186925607,9999.999999999996,5544.46832846522,6488.776644682192
48,3457.159382387734,905.8708306911519,1702.0709154351794,3934.898871485931,0.19227799793474656,9999.999999999996,5636.96978692111,6542.840617612266
49,3405.9656570060656,868.36091903447,1670.3230815584045,4055.350342401056,0.17941705428440582,9999.999999999996,5725.673423959461,6594.034342993935
50,3357.4971474399877,831.8282960900839,1637.1910514099409,4173.483505059984,0.16754490697081795,9999.999999999996,5810.674556469925,6642.502852560012
51,3311.612794574743,796.3141638204095,1602.8666455320486,4289.206396072795,0.15658553371893402,9999.999999999996,5892.073041604843,6688.387205425257
52,3268.1756875387896,761.8518543892242,1567.5320481238502,4402.440409948133,0.14646875712396684,9999.999999999996,5969.972458071983,6731.824312461211
53,3227.0532242205963,728.4674264552511,1531.3597412728095,4513.11960805134,0.13712979527641014,9999.999999999996,6044.47934932415,6772.946775779404
54,3188.1172530715044,696.1802225553414,1494.5124993122374,4621.190025060914,0.1285088469366488,9999.999999999996,6115.702524373151,6811.882746928495
55,3151.2441933116165,665.0033940177714,1457.1434357302064,4726.608976940404,0.12055070860285981,9999.999999999998,6183.75241267061,6848.755806688383
56,3116.3151314033335,634.9443985217017,1419.3960961333562,4829.344373941607,0.11320442102013252,9999.999999999998,6248.740470074963,6883.684868596667
57,3083.215892399755,606.005474225474,1381.4045916512907,4929.374041723478,0.1064229428672593,9999.999999999996,6310.778633374768,6916.784107600245
58,3051.8370854859795,578.1840933370438,1343.2937678804572,5026.685053296516,0.10016284953167771,9999.999999999996,6369.978821176974,6948.1629145140205
59,3022.074123688245,551.4733971017788,1305.1794050364883,5121.273074173485,0.09438405504369589,9999.999999999996,6426.452479209973,6977.925876311755
60,2993.827218311965,525.8626134377529,1267.1684454355786,5213.141722814702,0.08904955538943048,9999.999999999998,6480.31016825028,7006.172781688035
61,2967.0013491734094,501.33745785296367,1229.3592447813678,5302.301948192258,0.08412519155878388,10000.0,6531.661192973626,7032.99865082659
62,2941.5062121046253,477.8805178244384,1191.8418440146543,5388.771426056282,0.07957943081115855,10000.0,6580.613270070936,7058.493787895375
63,2917.2561455355635,455.47162049414965,1154.6982587072996,5472.573975262988,0.07538316475826255,10000.0,6627.272233970288,7082.7438544644365
64,2894.1700381933215,434.08818332656654,1118.0027831646835,5553.738995315429,0.07150952297104667,10000.0,6671.741778480113,7105.8299618066785
65,2872.1712201115947,413.70554726137163,1081.8223065560842,5632.300926070949,0.06793370091722106,10000.0,6714.123232627033,7127.828779888405
66,2851.1873392214325,394.2972918655607,1046.2166385301298,5708.298730382876,0.06463280112756459,9999.999999999998,6754.515368913006,7148.812660778567
67,2831.1502258067057,375.835532025098,1011.2388419012001,5781.775400266994,0.061585686573948244,9999.999999999998,6793.014242168195,7168.849774193294
68,2811.9957470644285,358.291195801644,976.9355701185438,5852.777487015382,0.05877284532019218,9999.999999999998,6829.713057133926,7188.0042529355715
69,2793.6636539215797,341.63428320001674,943.3474073571053,5921.354655521296,0.05617626557905909,9999.999999999998,6864.702062878401,7206.33634607842
70,2776.0974221365,325.83410573410066,910.5092092003061,5987.559262929091,0.05377932037532258,9999.999999999998,6898.068472129397,7223.9025778635005
71,2759.2440895636623,310.85950683182705,878.4504420215208,6051.445961582987,0.051566661076360196,9999.999999999996,6929.896403604508,7240.755910436337
72,2743.054091294132,296.6790632745085,847.1955193130012,6113.0713261183555,0.049524119108503475,9999.999999999996,6960.266845431357,7256.945908705868
73,2727.481094207803,283.2612680149945,816.764133357927,6172.4935044192725,0.047638615229794075,9999.999999999996,6989.257637777199,7272.518905792197
74,2712.4818322937444,270.5746948573763,787.1715807919585,6229.771892056917,0.04589807577818189,9999.999999999996,7016.943472848875,7287.518167706256
75,2698.0159439169506,258.58814560446154,758.4290807536296,6284.9668297249555,0.04429135535886774,9999.999999999996,7043.395910478585,7301.984056083049
