dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
23,6701.553722653968,1442.2336366755212,1184.5298994698192,671.6827412006962,0.28444475879679326,10000.000000000005,1856.2126406705154,3298.446277346032
24,6581.1102452729765,1419.5349872332486,1241.0081321660741,758.3466353277051,0.25416452908220827,10000.000000000005,1999.3547674937793,3418.8897547270235
25,6469.171334568372,1390.90658528868,1291.1045003898614,848.8175797530924,0.2273083745198298,10000.000000000005,2139.9220801429537,3530.828665431628
26,6365.3093848127155,1357.319718774118,1334.7347907990033,942.6361056141683,0.2034891021868013,10000.000000000005,2277.3708964131715,3634.6906151872845
27,6269.088662227277,1319.6609551752695,1371.910156874591,1039.340225722868,0.18236330276688875,10000.000000000005,2411.250382597459,3730.9113377727226
28,6180.0686275086455,1278.7370394952773,1402.7226136391937,1138.4717193568895,0.16362639951936486,10000.000000000007,2541.194332996083,3819.9313724913545
29,6097.807490402516,1235.279106523973,1427.3319697601885,1239.5814333133278,0.14700825710832965,10000.000000000005,2666.9134030735163,3902.192509597484
30,6021.865840810683,1189.9464206495097,1445.9540423615663,1342.2336961782469,0.13226928698369386,10000.000000000005,2788.187738539813,3978.134159189317
31,5951.8102071914545,1143.3298301013813,1458.8500298891772,1446.0099328179929,0.11919699316397957,10000.000000000005,2904.85996270717,4048.1897928085455
32,5887.216409077766,1095.9550893731227,1466.3169434297677,1550.5115581193495,0.1076029086204937,10000.000000000005,3016.8285015491174,4112.783590922234
33,5827.672593951856,1048.2861666128786,1468.679016802037,1655.3622226332336,0.0973198780938408,10000.000000000004,3124.0412394352707,4172.327406048144
34,5772.781876566224,1000.728615129396,1466.2800306576814,1760.2094776467027,0.08819964816835817,10000.000000000004,3226.489508304384,4227.218123433776
35,5722.164528143753,953.6330527046312,1459.4764961744959,1864.725922977125,0.08011072985988132,10000.000000000005,3324.202419151621,4277.835471856247
36,5675.459691123728,907.2987613960834,1448.6316503346497,1968.6098971455444,0.07293650290115154,10000.000000000005,3417.241547480194,4324.540308876272
37,5632.3266202339655,861.977395437419,1434.1102180387759,2071.585766289845,0.06657353439380148,10000.000000000005,3505.6959843286213,4367.6733797660345
38,5592.445471352224,817.8767663812057,1416.2738972399147,2173.403865026661,0.06093008758644022,10000.000000000005,3589.677762266576,4407.554528647776
39,5555.517675252988,775.1646627281847,1395.477522691799,2273.8401393270324,0.055924799279461056,10000.000000000004,3669.3176620188315,4444.482324747012
40,5521.265943889632,733.9726553520167,1372.0658625064325,2372.695538251923,0.05148550678833603,10000.000000000004,3744.7614007583556,4478.734056110368
41,5489.433962751106,694.3998390922295,1346.3710000928497,2469.7951980638177,0.04754820755338887,10000.000000000004,3816.1661981566676,4510.566037248894
42,5459.785824753364,656.5164638109176,1318.7102526453189,2564.9874587904037,0.044056136396440425,10000.000000000004,3883.6977114357223,4540.214175246636
43,5432.105259910703,620.3674138308926,1289.3845764653327,2658.142749793076,0.040958947120869685,10000.000000000004,3947.5273262584087,4567.894740089297
44,5406.194711531251,585.975501929023,1258.6774092091525,2749.1523773305776,0.038211986655982445,10000.000000000005,4007.82978653973,4593.805288468749
45,5381.874304678819,553.3445520464894,1226.8538997158741,2837.9272435588214,0.03577565128081781,10000.000000000004,4064.7811432746958,4618.125695321181
