dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
25,7525.999438112179,1028.7306803642157,884.2110231254339,561.0588583981718,0.3954717281203701,10000.0,1445.2698815236058,2474.0005618878213
26,7431.179733457306,1021.0350953384651,922.1912137850056,625.5939574192244,0.3669885081020443,10000.0,1547.78517120423,2568.8202665426943
27,7340.323053815978,1010.3012799386485,956.6588722420232,692.7167940033518,0.3406951821053988,10000.000000000002,1649.375666245375,2659.676946184022
28,7253.332287304304,996.9108044946211,987.5818249886694,762.175083212406,0.3164233830770208,10000.0,1749.7569082010755,2746.6677126956956
29,7170.106582227323,981.2124856384229,1014.9653183152492,833.7156138190073,0.29401768863771216,10000.000000000002,1848.6809321342566,2829.893417772677
30,7090.541552660869,963.5253070970093,1038.846423040441,907.0867172016822,0.27333462584864077,10000.000000000002,1945.9331402421233,2909.4584473391315
31,7014.52954477252,944.1410047659393,1059.2890901600804,982.0403603014611,0.2542417524947063,10000.0,2041.3294504615415,2985.4704552274798
32,6941.959959086086,923.3263525873734,1076.379781941702,1058.3339063848396,0.23661680900219834,10000.000000000002,2134.7136883265416,3058.040040913914
33,6872.7196224741465,901.3251836299662,1090.2236116158722,1135.7315822800165,0.22034693556012225,10000.0,2225.9551938958884,3127.2803775258535
34,6806.693202457307,878.3601786404124,1100.9409326398459,1214.0056862624358,0.20532794943209892,10000.0,2314.9466189022814,3193.306797542693
35,6743.763655447499,854.6344521590979,1108.6643255867011,1292.9375668067034,0.1914636778311654,10000.000000000004,2401.6018923934043,3256.2363445525007
36,6683.812699930623,830.3329640371172,1113.5359370890405,1372.3183989432214,0.17866534208559873,10000.000000000004,2485.854336032262,3316.1873000693768
37,6626.7213052590405,805.6237818494113,1115.7051309808123,1451.949781910737,0.16685098915232088,10000.0,2567.6549128915494,3373.2786947409595
38,6572.37018671709,780.659217277126,1115.3264168712697,1531.6441791345164,0.1559449668376304,10000.000000000004,2646.9705960057863,3427.6298132829097
39,6520.640297816565,755.5768570547414,1112.5576258879253,1611.225219240771,0.14587743936488146,10000.000000000002,2723.782845128696,3479.359702183435
40,6471.413311343154,730.5005065788729,1107.5583072773425,1690.5278748006322,0.1365839401870897,10000.0,2798.0861820779746,3528.5866886568456
41,6424.572081466704,705.5410617982917,1100.488322991655,1769.3985337433523,0.12800495918093874,10000.000000000004,2869.8868567350073,3575.427918533296
42,6380.00108019775,680.7973225944299,1091.5066203545155,1847.6949768533093,0.1200855615788197,10000.000000000004,2939.2015972078248,3619.9989198022504
43,6337.586802565945,656.3567585636022,1080.7701654340096,1925.286273436447,0.11277503619876797,10000.000000000004,3006.0564388704565,3662.4131974340553
44,6297.218136058089,632.296235967571,1068.4330218946548,2002.0526060796885,0.10602657071976734,10000.000000000004,3070.4856279743435,3702.781863941911
45,6258.786691033099,608.6827126623415,1054.6455618992575,2077.8850344053053,0.09979695192307549,10000.000000000004,3132.530596304563,3741.2133089669014
46,6222.187089982264,585.5739060721014,1039.553797127531,2152.6852068181056,0.09404628898009136,10000.000000000002,3192.239003945637,3777.8129100177357
47,6187.317214586813,563.0189377624366,1023.2988192142409,2226.3650284365117,0.08873775801486246,10000.000000000002,3249.6638476507524,3812.682785413187
48,6154.078410510877,541.0589568912237,1006.0163399259116,2298.84629267199,0.08383736630555966,10000.000000000002,3304.862632597901,3845.921589489123
49,6122.375650734941,519.7277437747837,987.836322229707,2370.0602832605714,0.07931373461500438,10000.000000000002,3357.8966054902785,3877.624349265059
50,6092.117658969512,499.05229399101836,968.8826940958011,2439.947352943671,0.07513789625641988,10000.000000000002,3408.830047039472,3907.8823410304876
51,6063.216995285887,479.0533828340119,949.2731374464372,2508.4564844336674,0.07128311160774191,10000.000000000004,3457.729621880105,3936.7830047141133
52,6035.590106561509,459.7461095149055,929.11894514808,2575.5448387755077,0.06772469688674675,10000.000000000002,3504.6637839235877,3964.409893438491
53,6009.157344668293,441.1404202476418,908.5249393606299,2641.1772957234375,0.06443986609057303,10000.000000000002,3549.7022350840675,3990.8426553317067
54,5983.842955543632,423.2416092398254,887.5894449286716,2705.325990287874,0.061407585087510624,10000.000000000004,3592.9154352165456,4016.1570444563677
55,5959.575042389253,406.05079660271394,866.4043118394045,2767.9698491686318,0.058608436926745854,10000.000000000004,3634.374161008036,4040.424957610747
56,5936.28550625708,389.56538227547486,845.0549810920194,2829.0941303754303,0.0560244975035856,10000.000000000004,3674.1491114674495,4063.7144937429202
57,5913.909967219375,373.7794752043859,823.6205886324921,2888.6899689437514,0.053639220783993344,10000.000000000004,3712.3105575762434,4086.090032780625
58,5892.387669197794,358.6842972070877,802.1741023119906,2946.7539312831304,0.05143733285348209,10000.000000000004,3748.928033595121,4107.612330802206
59,5871.661371356757,344.2685611675373,780.7824871300397,3003.2875803456695,0.04940473411191556,10000.000000000004,3784.070067475709,4128.338628643243
60,5851.67722876392,330.51882343409005,759.5068943271046,3058.2970534748883,0.047528408987930454,10000.000000000004,3817.8039478019928,4148.32277123608
61,5832.384664795984,317.4198105191128,738.4028701957898,3111.7926544891166,0.045796342594843734,10000.000000000002,3850.1955246849066,4167.615335204016
62,5813.736237531413,304.95472041440627,717.520580784762,3163.7884612694206,0.044197443794358325,10000.000000000004,3881.3090420541826,4186.263762468587
63,5795.687502131215,293.10549903562804,696.9050489734569,3214.3019498597014,0.04272147417541215,10000.000000000002,3911.206998833158,4204.312497868785
64,5778.19687097127,281.8530924861769,676.5964006967959,3263.353635845759,0.04135898249339279,10000.000000000002,3939.9500365425547,4221.80312902873
65,5761.225473060003,271.17767598380414,656.6301173954704,3310.9667335607237,0.0401012441499048,10000.000000000002,3967.596850956194,4238.774526939997
66,5744.7370140572875,261.05886042024065,637.03729205676,3357.1668334657147,0.038940205325553694,10000.000000000002,3994.204125522475,4255.2629859427125
67,5728.697638006957,251.4758776252895,617.844886491278,3401.9815978764773,0.03786843140800559,10000.000000000002,4019.8264843677553,4271.302361993043
68,5713.075791708086,242.40774548298475,599.075987760698,3445.4404750482336,0.03687905938508603,10000.000000000004,4044.5164628089315,4286.924208291914
69,5697.842092479841,233.83341410008035,580.750061928739,3487.5744314913422,0.0359657538980713,10000.000000000004,4068.324493420081,4302.157907520159
70,5682.969199921879,225.7318942583139,562.883203551224,3528.4157022685854,0.03512266667376333,10000.000000000004,4091.2989058198095,4317.030800078121
71,5668.431692136322,218.08236939386927,545.4883795498075,3567.9975589200035,0.03434439907557485,10000.000000000002,4113.485938469811,4331.568307863678
72,5654.2059467579265,210.86429234266265,528.5756663273052,3606.354094572109,0.03362596753382395,10000.000000000004,4134.929760899414,4345.7940532420735
73,5640.270027035197,204.05746807094476,512.1524791800009,3643.5200257138604,0.032962771633873886,10000.000000000004,4155.6725048938615,4359.729972964803
74,5626.6035731157735,197.64212357962978,496.22379324369496,3679.5305100609044,0.03235056465777335,10000.000000000002,4175.7543033045995,4373.3964268842265
75,5613.187698613324,191.59896612998884,480.7923553756406,3714.420979881049,0.03178542639076297,10000.000000000004,4195.21333525669,4386.812301386676
76,5600.004892469158,185.90923088996428,465.8588865241892,3748.2269901166915,0.031263738018517034,10000.000000000004,4214.085876640881,4399.995107530842
77,5587.038926068605,180.5547190462679,451.422274272344,3780.9840806127854,0.03078215895437694,10000.000000000002,4232.406354885129,4412.961073931395
78,5574.27476552871,175.51782736929846,437.47975536111727,3812.727651740876,0.0303376054481916,10000.000000000002,4250.207407101993,4425.72523447129
79,5561.698489038754,170.78157015722886,424.0270881042765,3843.492852699741,0.029927230839788394,10000.0,4267.519940804017,4438.301510961246
80,5549.2972091076135,166.329594423629,411.05871469854657,3873.3144817702114,0.02954840733062935,10000.0,4284.373196468758,4450.7027908923865
