dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
35,7150.352779521697,666.8641503702396,976.1300369139035,1206.653033194156,0.0801109883701865,9999.999999999995,2182.7830701080593,2849.647220478303
36,7115.278207680191,636.7601587553064,971.7262570962162,1276.2353764682834,0.07293673217922428,9999.999999999996,2247.9616335644996,2884.7217923198086
37,7082.783286318716,607.067856163893,964.7392936856875,1345.4095638316994,0.06657373774520987,9999.999999999996,2310.148857517387,2917.216713681284
38,7052.649569544705,577.9558518140881,955.3954194201342,1413.999159221069,0.060930267942960165,9999.999999999996,2369.394578641203,2947.3504304552953
39,7024.670636695037,549.565260049519,943.9202227105288,1481.8438805449114,0.055924959241344496,9999.999999999996,2425.76410325544,2975.3293633049634
40,6998.65269445561,522.0117463833029,930.5361001940166,1548.7994589670668,0.05148564866179955,9999.999999999996,2479.3355591610834,3001.34730554439
41,6974.414877238976,495.38766565362533,915.4601245148446,1614.7373325925496,0.0475483333838631,9999.999999999995,2530.1974571073943,3025.5851227610237
42,6951.789288523722,469.76424286739143,898.9022679231326,1679.5442006857502,0.04405624799805958,9999.999999999996,2578.4464686088827,3048.2107114762784
43,6930.620826978351,445.1937509683839,881.0639590091821,1743.121463044079,0.04095904610262648,9999.999999999996,2624.1854220532614,3069.379173021649
44,6910.766839931858,421.711645337023,862.1369472981696,1805.3845674329452,0.0382120744449254,9999.999999999996,2667.5215147311146,3089.233160068142
45,6892.09664380481,399.3386214701663,842.3024486120854,1866.2622861129344,0.03577572914262544,9999.999999999996,2708.5647347250197,3107.90335619519
46,6874.49094709571,378.08256931319175,821.7305430776083,1925.6959405134853,0.03361488470311392,9999.999999999996,2747.4264835910935,3125.50905290429
47,6857.841206939699,357.9404046000012,800.5797973759146,1983.6385910843806,0.03169838760914288,9999.999999999995,2784.218388460295,3142.158793060301
48,6842.048945518553,338.8997639348397,778.9970832092013,2040.054207337401,0.029998607169589485,9999.999999999996,2819.051290546602,3157.9510544814466
49,6827.025047991813,320.9405559965361,757.1175648925635,2094.916831119082,0.028491037159816216,9999.999999999995,2852.034396011645,3172.974952008187
50,6812.689059332296,304.0363660469272,735.064830353576,2148.2097442671957,0.027153942508365277,9999.999999999996,2883.2745746207715,3187.310940667704
51,6798.968493600518,288.155714852216,712.9511415215605,2199.9246500257013,0.025968045936167226,9999.999999999996,2912.875791547262,3201.031506399482
52,6785.79816583613,273.26317621056205,690.8777820084254,2250.0608759448787,0.024916250030451052,9999.999999999996,2940.938657953304,3214.2018341638704
53,6773.119553890685,259.32035959195696,668.9354820298302,2298.6246044875234,0.02398339074641515,9999.999999999996,2967.5600865173537,3226.880446109315
54,6760.8801951550195,246.28676602993485,647.2049026104537,2345.628136204586,0.023156018782821666,9999.999999999995,2992.83303881504,3239.1198048449805
55,6749.033121207659,234.12052646042676,625.7571631963303,2391.0891891355786,0.022422205679543176,9999.999999999995,3016.8463523319087,3250.966878792341
56,6737.536331879065,222.77903228257972,604.654398810941,2435.030237027409,0.021771371841514092,9999.999999999995,3039.68463583835,3262.463668120935
57,6726.352309037617,212.2194681150983,583.9503348032315,2477.477888044048,0.021194134009658538,9999.999999999995,3061.4282228472794,3273.6476909623834
58,6715.447569504529,202.39925662563462,563.6908690195852,2518.462304850244,0.020682169979739106,9999.999999999993,3082.153173869829,3284.5524304954706
59,6704.792255847418,193.27642499477597,543.9146528721033,2558.016666285696,0.0202280986187391,9999.999999999993,3101.9313191577994,3295.2077441525817
60,6694.359763341259,184.80990210351268,524.653664264172,2596.1766702910504,0.019825373448939882,9999.999999999995,3120.830334555222,3305.640236658741
61,6684.1264010820805,176.95975495581425,505.9337666692079,2632.980077292892,0.019468188265464263,9999.999999999995,3138.9138439621,3315.8735989179195
62,6674.071085059124,169.6873722079704,487.7752498422805,2668.4662928906196,0.019151393426546898,9999.999999999995,3156.2415427329,3325.928914940876
63,6664.17506090726,162.95560200650624,470.1933486830575,2702.675988403171,0.018870421609664328,9999.999999999995,3172.8693370862284,3335.8249390927404
64,6654.421654049704,156.7288506618243,453.19873767060375,2735.650757617861,0.01862122196312941,9999.999999999993,3188.849495288465,3345.5783459502964
65,6644.79604498249,150.97314802382743,436.79799906588795,2767.4328079277875,0.01840020170379471,9999.999999999993,3204.2308069936753,3355.2039550175105
66,6635.285067531393,145.65618479185844,420.99406373717846,2798.064683939562,0.01820417431886208,9999.999999999993,3219.0587476767405,3364.714932468607
